QID,abstract
Q229871,"Valeria Messalina (Latin: [waˈlɛria mɛssaːˈliːna]; c. 17/20–48) was the third wife of Roman emperor Claudius. She was a paternal cousin of Emperor Nero, a second cousin of Emperor Caligula, and a great-grandniece of Emperor Augustus. A powerful and influential woman with a reputation for promiscuity, she allegedly conspired against her husband and was executed on the discovery of the plot. Her notorious reputation probably resulted from political bias, but works of art and literature have perpetuated it into modern times."
Q230258,"Cleopatra of Macedonia (Greek: Κλεοπάτρα της Μακεδονίας; c. 355/354 BC – 308 BC), or Cleopatra of Epirus (Greek: Κλεοπάτρα της Ηπείρου) was an ancient Macedonian princess and later queen regent of Epirus. The daughter of Philip II of Macedon and Olympias of Epirus, she was the only full sibling of Alexander the Great. Her other siblings include half sisters Thessalonike and Cynane, and half-brother Philip III of Macedon. Cleopatra grew up in the care of her mother in Pella. In 338 BC, Cleopatra stayed in Pella with her father while her mother Olympias fled to exile in Epirus with her Molossian brother Alexander I of Epirus (Cleopatra's uncle), and Cleopatra's brother Alexander fled to Illyria."
Q230291,"Sheikh Hassan Ahmed Abdel Rahman Muhammed al-Banna (Arabic: حسن أحمد عبد الرحمن محمد البنا; 14 October 1906 – 12 February 1949), known as Hassan al-Banna (Arabic: حسن البنا), was an Egyptian schoolteacher and imam, best known for founding the Muslim Brotherhood, one of the largest and most influential Islamic revivalist organizations. Al-Banna's writings marked a turning-point in Islamic intellectual history by presenting a modern ideology based on Islam. Al-Banna considered Islam to be a comprehensive system of life, with the Qur'an and Sunnah as the only acceptable constitution. He called for Islamization of the state, the economy, and society. He declared that establishing a just society required development of institutions and progressive taxation, and elaborated an Islamic fiscal theory where zakat would be reserved for social expenditure in order to reduce inequality."
Q231713,"Christina Victoria Grimmie (March 12, 1994 – June 10, 2016) was an American singer and YouTuber. In 2009, she began posting covers of popular songs onto YouTube. After releasing her debut EP, Find Me (2011), her YouTube channel reached one million subscribers. After she reached two million subscribers, she released her debut studio album, With Love (2013). Grimmie then became a contestant on season six of The Voice, finishing in third place."
Q232336,"Sabina Nikolayevna Spielrein (Russian: Сабина Николаевна Шпильрейн, IPA: [sɐˈbʲinə nʲɪkɐˈlajɪvnə ʂpʲɪlʲˈrɛjn]; 7 November 25 October 1885 OS – 11 August 1942) was a Russian physician and one of the first female psychoanalysts. She was in succession the patient, then student, then colleague of Carl Gustav Jung, with whom she had an intimate relationship during 1908–1910, as is documented in their correspondence from the time and her diaries. She also met, corresponded, and had a collegial relationship with Sigmund Freud. She worked with and psychoanalysed Swiss developmental psychologist Jean Piaget. She worked as a psychiatrist, psychoanalyst, teacher and paediatrician in Switzerland and Russia."
Q233534,"Galswintha (540–568) was a queen consort of Neustria. She was the daughter of Athanagild, Visigothic king of Hispania (the Iberian Peninsula, comprising modern Spain and Portugal), and Goiswintha. Galswintha was the sister of Brunhilda, Queen of Austrasia; and the wife of Chilperic I, the Merovingian king of Neustria. Galswintha was likely murdered at the urging of Chilperic's former concubine Fredegund (and then later wife), instigating a 40-year civil war within the Merovingian kingdom."
Q233693,"Elizabeth Short (July 29, 1924 – c. January 14–15, 1947), known posthumously as the Black Dahlia, was an American woman found murdered in the Leimert Park neighborhood of Los Angeles on January 15, 1947. Her case became highly publicized owing to the gruesome nature of the crime, which included the mutilation of her corpse, which was bisected at the waist. A native of Boston, Short spent her early life in New England and Florida before relocating to California, where her father lived. It is commonly held that Short was an aspiring actress, though she had no known acting credits or jobs during her time in Los Angeles. She would acquire the nickname of the Black Dahlia posthumously, as newspapers of the period often nicknamed particularly lurid crimes; the term may have originated from a film noir murder mystery, The Blue Dahlia, released in 1946."
Q234697,"Maria Teresa Goretti (Italian: [maˈriːa teˈrɛːza ɡoˈretti]; October 16, 1890 – July 6, 1902) is an Italian virgin-martyr of the Catholic Church, and one of the youngest saints to be canonized. She was born to a farming family. Her father died when she was nine, and the family had to share a house with another family, the Serenellis. Maria took over household duties while her mother, brothers and sister worked in the fields. One afternoon, Alessandro, the Serenellis' 20-year-old son, made sexual advances to her."
Q235922,"Judith Eva Barsi (June 6, 1978 – July 25, 1988) was an American child actress. She began her career in television, making appearances in commercials and television series, as well as the 1987 film Jaws: The Revenge. She also provided the voices of Ducky in The Land Before Time and Anne-Marie in All Dogs Go to Heaven. She and her mother, Maria, were killed in July 1988 in a double murder–suicide committed in their home by her father, József Barsi."
Q237541,"Veronica Guerin (5 July 1959 – 26 June 1996) was an Irish crime reporter who was murdered by drug lords. Born in Dublin, she was an athlete in school and later played on the Irish national teams for both football and basketball. After studying accountancy she ran a public-relations firm for seven years, before working for Fianna Fáil and as an election agent for Seán Haughey. She became a reporter in 1990, writing for the Sunday Business Post and Sunday Tribune. In 1994 she began writing exposes about organised crime for the Sunday Independent."
Q248900,"Grand Duke Sergei Alexandrovich of Russia (Сергей Александрович; 11 May 1857 – 17 February 1905) was the fifth son and seventh child of Emperor Alexander II of Russia. He was an influential figure during the reigns of his brother Emperor Alexander III of Russia and his nephew Emperor Nicholas II, who was also his brother-in-law through Sergei's marriage to Elizabeth, the sister of Tsarina Alexandra. Grand Duke Sergei's education gave him lifelong interests in culture and the arts. Like all male members of the Romanov dynasty, he followed a military career, and he fought in the Russo-Turkish War of 1877–78, receiving the Order of St George for courage and bravery in action. In 1882, his brother, Tsar Alexander III, appointed him Commander of the 1st Battalion Preobrazhensky Life Guard Regiment, a position he held until 1891."
Q249292,"Cornelis de Witt was a Dutch politician and naval commendant of the Golden Age. During the First Stadtholderless Period De Witt was an influential member of the Dutch States Party, and was in opposition to the House of Orange. In the Rampjaar of 1672 he was lynched together with his brother Johan de Witt by a crowd incited by Orange partisans."
Q251943,"Robert IV de La Marck (15 January 1512 – Guise, 1556), was Duke of Bouillon, Seigneur of Sedan and a Marshal of France. He rose to prominence during the reign of Henri II of France as a favourite of both the king and his mistress Diane de Poitiers. In 1547 he was elevated to the rank of Marshal of France. In 1549 he established himself as a sovereign prince, with Sedan, France granted the status of a principality. In 1552 he was granted the office of governor of Normandy, an office that historically gone to Normans or members of the royal family."
Q257953,"Sarah Margaret Fuller (May 23, 1810 – July 19, 1850), sometimes referred to as Margaret Fuller Ossoli, was an American journalist, editor, critic, translator, and women's rights advocate associated with the American transcendentalism movement. She was the first American female war correspondent and full-time book reviewer in journalism. Her book Woman in the Nineteenth Century is considered the first major feminist work in the United States. Born Sarah Margaret Fuller in Cambridge, Massachusetts, she was given a substantial early education by her father, Timothy Fuller, a lawyer who died in 1835 due to cholera. She later had more formal schooling and became a teacher before, in 1839, she began overseeing her Conversations series: classes for women meant to compensate for their lack of access to higher education."
Q259627,"Audovera (d. 580) was the first wife or mistress of Chilperic I, king of Neustria. They had five children. * Theudebert, killed in battle in 575 by Guntram Boso during the interminable conflict between Chilperic and his brothers. * , married the widow Brunhilda, becoming his father's enemy. Killed by his servants on his own orders in 578."
Q264173,"Yevhen Mykhailovych Konovalets (Ukrainian: Євген Михайлович Коновалець; June 14, 1891 – May 23, 1938), also anglicized as Eugene Konovalets, was a military commander of the Ukrainian National Republic army, veteran of the Ukrainian-Soviet War and political leader of the Ukrainian nationalist movement. He is best known as the leader of the Organization of Ukrainian Nationalists from its foundation in 1929 until his assassination in 1938."
Q266789,"Rebecca Lucile Schaeffer (November 6, 1967 – July 18, 1989) was an American actress and model. She began her career as a teen model before moving on to acting. In 1986, she landed the role of Patricia ""Patti"" Russell in the CBS comedy My Sister Sam. The series was canceled in 1988, and she appeared in several films, including the black comedy Scenes from the Class Struggle in Beverly Hills. At the age of 21, she was shot and killed by Robert John Bardo, a 19-year-old obsessed fan who had been stalking her."
Q267304,"Giacomo Matteotti (Italian pronunciation: [ˈdʒaːkomo matteˈɔtti]; 22 May 1885 – 10 June 1924) was an Italian socialist politician. On 30 May 1924, he openly spoke in the Italian Parliament alleging the Fascists committed fraud in the recently held elections, and denounced the violence they used to gain votes. Eleven days later he was kidnapped and killed by Fascists."
Q267752,"Spotted Tail (Siŋté Glešká Siouan: [sɪ̃ˈte glɛˈʃka] pronounced gleh-shka; birth name T'at'aŋka Napsíca ""Jumping Buffalo"" Siouan: [t'at'ə̃ka naˈpsit͡ʃa]); born c. 1823 – died August 5, 1881) was a Brulé Lakota tribal chief. Although a great warrior in his youth, and having taken part in the Grattan massacre, he declined to participate in Red Cloud's War. He had become convinced of the futility of opposing the white incursions into his homeland; he became a statesman, speaking for peace and defending the rights of his tribe. He made several trips to Washington, D.C. in the 1870s to represent his people, and was noted for his interest in bringing education to the Sioux. He was shot and killed by Crow Dog, a Brulé Lakota subchief, in 1881 for reasons which have been disputed."
Q313581,"Nicolae Iorga (Romanian pronunciation: [nikoˈla.e ˈjorɡa]; sometimes Neculai Iorga, Nicolas Jorga, Nicolai Jorga or Nicola Jorga, born Nicu N. Iorga; 17 January 1871 – 27 November 1940) was a Romanian historian, politician, literary critic, memoirist, Albanologist, poet and playwright. Co-founder (in 1910) of the Democratic Nationalist Party (PND), he served as a member of Parliament, President of the Deputies' Assembly and Senate, cabinet minister and briefly (1931–32) as Prime Minister. A child prodigy, polymath and polyglot, Iorga produced an unusually large body of scholarly works, establishing his international reputation as a medievalist, Byzantinist, Latinist, Slavist, art historian and philosopher of history. Holding teaching positions at the University of Bucharest, the University of Paris and several other academic institutions, Iorga was founder of the and the (ISSEE). His activity also included the transformation of Vălenii de Munte town into a cultural and academic center."
Q313737,"Drusus Julius Caesar (14 BC – 14 September AD 23), was the son of Emperor Tiberius, and heir to the Roman Empire following the death of his adoptive brother Germanicus in AD 19. He was born at Rome to a prominent branch of the gens Claudia, the son of Tiberius and his first wife, Vipsania Agrippina. His name at birth was Nero Claudius Drusus after his paternal uncle, Drusus the Elder. In AD 4, he assumed the name Julius Caesar following his father's adoption into the Julii by Augustus, and became Drusus Julius Caesar. Drusus first entered politics with the office of quaestor in AD 10."
Q313833,"Stefan Nikolov Stambolov (Bulgarian: Стефан Николов Стамболов) (31 January 1854 OS– 19 July 1895 OS) was a Bulgarian politician, journalist, revolutionary, and poet who served as Prime Minister and regent. He is considered one of the most important and popular ""Founders of Modern Bulgaria"", and is sometimes referred to as ""the Bulgarian Bismarck"". In 1875 and 1876 he took part in the preparation for the Stara Zagora uprising, as well as the April Uprising. Stambolov was, after Stanko Todorov, Boyko Borisov and Todor Zhivkov, one of the country's longest-serving prime ministers. Criticised for his dictatorial methods, he was among the initiators of economic and cultural progress in Bulgaria during the time of the Balkan Wars."
Q314597,"DeShaun Dupree Holton (October 2, 1973 – April 11, 2006), known professionally as Proof, was an American rapper from Detroit, Michigan. During his career, he was a member of the groups 5 Elementz, Funky Cowboys, Promatic, Goon Sqwad, and D12. He was a close childhood friend of rapper Eminem, who also lived in Detroit. Proof was often a hype man at Eminem's concerts."
Q314774,"Salman Taseer (Punjabi and Urdu: سلمان تاثیر); (31 May 1944 – 4 January 2011) was a Pakistani businessman and politician, who served as the 26th Governor of Punjab from 2008 until his assassination in 2011. A member of the Pakistan Peoples Party since the 1980s, he was elected to the Punjab Assembly from Lahore in the 1988 election, however lost in 1990, 1993 and then in 1997. Taseer served as a minister in the caretaker cabinet of Prime Minister Mian Soomro under Pervez Musharraf during the 2008 elections. He was appointed as the governor of Punjab on 15 May 2008, by then-President Musharraf at the request of Prime Minister Yousaf Raza Gillani. During his governorship, he emerged as an outspoken critic of the Pakistan's blasphemy laws and consequently called for the pardon for Asia Bibi."
Q314960,"Pontiac or Obwaandi'eyaag (c. 1714/20 – April 20, 1769) was an Odawa war chief known for his role in the war named for him, from 1763 to 1766 leading Native Americans in an armed struggle against the British in the Great Lakes region due to, among other reasons, dissatisfaction with British policies. It followed the British victory in the French and Indian War, the American front of the Seven Years' War. Pontiac's importance in the war that bears his name has been debated. Nineteenth-century accounts portrayed him as the mastermind and leader of the revolt, but some subsequent scholars argued that his role had been exaggerated. Historians today generally view him as an important local leader who influenced a wider movement that he did not command."
Q315191,"Andrew I (died 28 June 1174), his Russian name in full, Andrey Yuryevich Bogolyubsky (Russian: Андрей Ю́рьевич Боголюбский, lit. Andrey Yuryevich of Bogolyubovo), was Grand prince of Vladimir-Suzdal from 1157 until his death. Andrey accompanied Yuri I Vladimirovich (Yury Dolgoruky), his father, on a conquest of Kiev, then led the devastation of the same city in 1169, and oversaw the elevation of Vladimir as the new capital of northeastern Rus'. He was canonized as a saint in the Russian Orthodox Church in 1702."
Q315531,"Jan Garrigue Masaryk (14 September 1886 – 10 March 1948) was a Czech diplomat and politician who served as the Foreign Minister of Czechoslovakia from 1940 to 1948. American journalist John Gunther described Masaryk as ""a brave, honest, turbulent, and impulsive man""."
Q315534,"Bachir Pierre Gemayel (Arabic: بشير بيار الجميّل Arabic pronunciation: [baˈʃiːr ʤɪ'ma.jjɪl]; 10 November 1947 – 14 September 1982) was a Lebanese militia commander who led the Lebanese Forces, the military wing of the Kataeb Party in the Lebanese Civil War and was elected President of Lebanon in 1982. He founded and later became the supreme commander of the Lebanese Forces, uniting major Christian militias by force under the slogan of ""Uniting the Christian Rifle"". Gemayel allied with Israel and his forces fought the Palestine Liberation Organization and the Syrian Army. He was elected president on 23 August 1982, but he was assassinated before taking office on 14 September, via a bomb explosion by Habib Shartouni, a member of the Syrian Social Nationalist Party. Gemayel is described as the most controversial figure in the history of Lebanon."
Q315553,"Hara Takashi (原 敬, 15 March 1856 – 4 November 1921) was a Japanese politician who served as the Prime Minister of Japan from 1918 to 1921. Hara held several minor ambassadorial roles before rising through the ranks of the Rikken Seiyūkai and being elected to the House of Representatives. Hara served as Home Minister in several cabinets under Saionji Kinmochi and Yamamoto Gonnohyōe between 1906 and 1913. Hara was appointed Prime Minister following the Rice Riots of 1918 and positioned himself as a moderate, participating in the Paris Peace Conference, founding the League of Nations, and relaxing oppressive policies in Japanese Korea. Hara's premiership oversaw the Siberian intervention and the March 1st Movement."
Q315659,"Yohannes IV (Tigrinya: ዮሓንስ ፬ይ Rabaiy Yōḥānnis; horse name Abba Bezbiz; born Lij Kassa Mercha; 11 July 1837 – 10 March 1889) was Emperor of Ethiopia from 1871 to his death in 1889 at the Battle of Gallabat, and king of Tigray from 1869 to 1871."
Q315888,"Mehmed Talaat (1 September 1874 – 15 March 1921), commonly known as Talaat Pasha or Talat Pasha, was a Turkish Ottoman politician and convicted war criminal of the late Ottoman Empire who served as its de facto leader from 1913 to 1918. Talaat Pasha was chairman of the Union and Progress Party, which operated a one-party dictatorship in the Ottoman Empire, and later on became Grand Vizier (Prime Minister) during World War I. He was one of the perpetrators of the Armenian genocide and other ethnic cleansings during his time as Minister of Interior Affairs. Born in Kırcaali (Kardzhali), Adrianople (Edirne) Vilayet, Mehmed Talaat grew up to despise Sultan Abdul Hamid II's autocracy. He was an early member of the Committee of Union and Progress (CUP), a secret revolutionary Young Turk organization, and over time became its leader."
Q316064,"John Fitzgerald Kennedy Jr. (November 25, 1960 – July 16, 1999), often referred to as John-John or JFK Jr., was an American lawyer, journalist, and magazine publisher. He was a son of the 35th president of the United States, John F. Kennedy, and First Lady Jacqueline Kennedy, and a younger brother of Caroline Kennedy. Three days after his father was assassinated, he rendered a final salute during the funeral procession on his third birthday. From his childhood years at the White House, Kennedy was the subject of much media scrutiny, and later became a popular social figure in Manhattan. Trained as a lawyer, he worked as a New York City assistant district attorney for almost four years."
Q317448,"Abdul Sattar Abu Risha (Arabic: عبد الستار أبو ريشة) – Sheikh Abdul Sattar Eftikhan al-Rishawi الشيخ عبد الستار افتيخان الريشاوي – (born 1972 – 13 September 2007) was a high-profile Iraqi tribal sheikh of the tribe. He was the leader of an alliance of Iraqi Sunni Arab tribes that opposed al-Qaeda in Iraq. Abu Risha was assassinated shortly after becoming an ally of the Iraqi government through forming an organisation of fellow tribal chiefs called the Sahawat al-Anbar (Anbar Awakening), based in Anbar's provincial capital of Ramadi, some 70 miles (110 km) west of Baghdad."
Q317450,"Abdul Sabur Farid Kohistani (1952 – May 2, 2007) served as Prime Minister of Afghanistan from July 6, 1992, until August 15, 1992. He was a member of Gulbuddin Hekmatyar's Hezbi Islami. He later served as a member of the upper house of the National Assembly of Afghanistan until he was assassinated in a shooting outside his home in Kabul on May 2, 2007."
Q319419,"Maximiliano Hernández Martínez (20 October 1882 – 15 May 1966) was the President of El Salvador from 4 December 1931 to 28 August 1934 in an acting capacity and again in an official capacity from 1 March 1935 until his resignation on 9 May 1944. He was the leader of El Salvador during World War II. While he served as President Arturo Araujo's Vice President and defense minister, a directorate seized power during a palace coup and afterwards named General Hernández Martínez President of El Salvador. He was President of El Salvador for almost 12 years and ruled the nation with an authoritarian one party state led by the fascistic and anti-communist National Pro Patria Party. His rule was marked by rigged and fraudulent elections and brutality, most notably the 1932 Salvadoran peasant massacre, known as La Matanza (""The Massacre"")."
Q319684,"Rigas Feraios (Greek: Ρήγας Φεραίος pronounced [ˈriɣas fɛˈrɛɔs], sometimes Rhegas Pheraeos; Aromanian: Riga Fereu) or Velestinlis (Βελεστινλής pronounced [vɛlɛstinˈlis], also transliterated Velestinles); 1757 – 24 June 1798), born as Antonios Rigas Velestinlis (Greek: Αντώνιος Ρήγας Βελεστινλής), was a Greek writer, political thinker and revolutionary, active in the Modern Greek Enlightenment. A victim of the Balkan uprising against the Ottoman Empire and a pioneer of the Greek War of Independence, Rigas Feraios is today remembered as a national hero in Greece."
Q334081,"Dong Zhuo (died 22 May 192), courtesy name Zhongying, was a Chinese military general, politician, and warlord who lived in the late Eastern Han dynasty. At the end of the reign of the Eastern Han, Dong Zhuo was a general and powerful minister of the imperial government. Yet he forced the young Emperor Shao of Han to abdicate and replaced him with his half-brother Emperor Xian of Han while he sought to become the de facto ruler of China in the boy-emperor's name. The Eastern Han dynasty regime survived in name only. Dong Zhuo seized control of the imperial capital Luoyang in 189 when it entered a state of turmoil following the death of Emperor Ling of Han and a massacre of the eunuch faction by the court officials led by General-in-Chief He Jin."
Q334752,"Abu'l-Fazl ibn Mubarak, also known as Abul sharma, Abu'l Fadl and Abu'l-Fadl 'Allami (14 January 1551 – 22 August 1602), was the grand vizier of the Mughal emperor Akbar, from his appointment in 1579 until his death in 1602. He was the author of the Akbarnama, the official history of Akbar's reign in three volumes, (the third volume is known as the Ain-i-Akbari) and a Persian translation of the Bible. He was also one of the Nine Jewels (Hindi: Navaratnas) of Akbar's royal court and the brother of Faizi, the poet laureate of Emperor Akbar."
Q334795,"Abu Ali Mustafa (/ˈɑːbuː ˈɑːli ˈmuːstəfə/; Arabic: أبو علي مصطفى; 1938 – 27 August 2001), the kunya of Mustafa Alhaj also known as Mustafa Ali Zabri, was a Palestinian militant who served as the General Secretary of the Popular Front for the Liberation of Palestine (PFLP) from July 2000 until he was assassinated by Israeli forces in a targeted killing on 27 August 2001. Mustafa was succeeded as Secretary General by Ahmad Saadat, and the PFLP subsequently renamed their armed wing in the Palestinian territories the Abu Ali Mustafa Brigades."
Q334869,"Habibullah Khan (Pashto/Dari: حبيب الله خان ; 3 June 1872 – 20 February 1919) was the Emir of Afghanistan from 1901 until his death in 1919. He was the eldest son of the Emir Abdur Rahman Khan, whom he succeeded by right of primogeniture in October 1901. His grandfather was Mohammad Afzal Khan."
Q335684,Sir Abubakar Tafawa Balewa KBE PC (December 1912 – 15 January 1966) was a Nigerian politician who served as the first and only Prime Minister of Nigeria upon independence.
Q336212,"William Richard Tolbert Jr. (13 May 1913 – 12 April 1980) was a Liberian politician who served as the 20th president of Liberia from 1971 until 1980. Tolbert was an Americo-Liberian and trained as a civil servant before entering the House of Representatives in 1943 for the True Whig Party, then the only established party in Liberia. Tolbert was elected the 23rd vice president of Liberia to William Tubman in 1952 and served in that position until he became President following Tubman's death in 1971. Tolbert's early presidency saw liberal reforms and the adoption of a Non-Alignment stance, but growing economic troubles and tensions between Americo-Liberians and indigenous Liberians led to instability. Tolbert was assassinated in the 1980 coup d'état by the People's Redemption Council led by Samuel Doe, marking the end of 133 years of Americo-Liberian rule in Liberia."
Q336247,"Justo José de Urquiza y García (Spanish pronunciation: [ˈxusto xoˈse ðe uɾˈkiθa]; October 18, 1801 – April 11, 1870) was an Argentine general and politician who served as president of the Argentine Confederation from 1854 to 1860."
Q336493,"Count István Imre Lajos Pál Tisza de Borosjenő et Szeged (archaically anglicized Stephen Emery Louis Paul Tisza, in short Stephen Tisza; 22 April 1861 – 31 October 1918) was a Hungarian politician, prime minister, political scientist, international lawyer, macroeconomist, member of the Hungarian Academy of Sciences and champion duelist. The outbreak of World War One defined his second term as prime minister. He was assassinated by leftist revolutionaries on 31 October 1918 during the Aster Revolution, the day Hungary declared its independence, dissolving the Dual Monarchy or Austro-Hungarian Empire. Tisza was the most zealous adherent of the Dual Monarchy among the Hungarian political leaders and pleaded for consensus between liberals and conservatives. As a Member of Parliament since 1887, he came to fear a political impasse in the conflict between the unyielding temper of the Emperor and the revolutionary spirit of the extremists."
Q337520,"Lord Frederick Charles Cavendish PC (30 November 1836 – 6 May 1882) was an English Liberal politician and protégé of the Prime Minister, William Ewart Gladstone. Cavendish was appointed Chief Secretary for Ireland in May 1882 but was murdered only hours after his arrival in Dublin, a victim of the politically motivated Phoenix Park killings."
Q338973,"Chief Samuel Ládòkè Akíntọ́lá, otherwise known as S.L.A. (6 July 1910 – 15 January 1966), was a Yoruba politician, aristocrat , orator, and a Yoruba Lawyer. He was one of the founding fathers of modern Nigeria, he served as Oloye Aare Ona Kakanfo XIII of Yorubaland and served as premier of Western Nigeria from independence in 1960 till his assassination in 1966."
Q343327,"İbrahim Kaypakkaya (1949 – May 18, 1973) was a Turkish communist revolutionary, who was a leader of the communist movement in Turkey and the founder of the Communist Party of Turkey/Marxist-Leninist (TKP/ML). He is revered by many today as a symbol of resistance and as an aggregator of the ideas of other major leaders and thinkers in Marxism–Leninism–Maoism. Kaypakkaya was captured after being wounded in an engagement with the Turkish military in Tunceli Province in 1973, and executed in Diyarbakir Prison four months later."
Q343708,"Iyoas I (Ge'ez: ኢዮአስ; died 14 May 1769), throne name Adyam Sagad (Ge'ez: አድያም ሰገድ) was Emperor of Ethiopia from 27 June 1755 to 7 May 1769, and a member of the Solomonic dynasty. He was the infant son of Iyasu II and (Welete Bersabe), the daughter of an Oromo chieftain of the Karrayyu."
Q345579,"Perctarit (also Berthari) (died 688) was king of the Lombards from 661 to 662 the first time and later from 671 to 688. He was the son and successor of Aripert I. He shared power with his brother Godepert. He was a Catholic, whereas Godepert was an Arian. He ruled from Milan, Godepert from Pavia."
Q347447,"Shahrbaraz (also spelled Shahrvaraz or Shahrwaraz; New Persian: شهربراز), was shah (king) of the Sasanian Empire from 27 April 630 to 9 June 630. He usurped the throne from Ardashir III, and was killed by Iranian nobles after forty days. Before usurping the Sasanian throne he was a spahbed (general) under Khosrow II (590–628). He is furthermore noted for his important role during the climactic Byzantine–Sasanian War of 602–628, and the events that followed afterwards."
Q363633,"Bagoas (Old Iranian: Bagāvahyā, Ancient Greek: Βαγώας Bagōas; died 336 BCE) was a prominent Persian official who served as the vizier (Chief Minister) of the Achaemenid Empire until his death."
Q364023,"Pier Luigi Farnese (19 November 1503 – 10 September 1547) was the first Duke of Castro from 1537 to 1545 and the first Duke of Parma and Piacenza from 1545 to 1547. Born in Rome, Pier Luigi was the illegitimate son of Cardinal Alessandro Farnese (who later became Pope Paul III). He became a soldier and participated in the sack of Rome in 1527."
Q365417,"General Ibrahim Baré Maïnassara (May 9, 1949 – April 9, 1999) was a military officer and diplomat in Niger who ruled the country from his seizure of power in 1996 until his assassination during the military coup of April 1999. Baré Maïnassara, a Maouri, a subgroup of Niger's Hausa ethnic majority, was born in Dogondoutchi in 1949, and pursued a military career. Maïnassara was named Army Chief of Staff in March 1995, under a constitution which had moved Niger from military rule in 1991."
Q366790,"Moisei Solomonovich Uritsky (Ukrainian: Мойсей Соломонович Урицький; Russian: Моисей Соломонович Урицкий; 2 January [O.S. 14 January] 1873 – 30 August 1918) was a Bolshevik revolutionary leader in Russia. After the October Revolution, he was Chief of Cheka of the Petrograd Soviet. Uritsky was assassinated by Leonid Kannegisser, a military cadet, who was executed shortly afterwards."
Q366796,"Essad Pasha Toptani or Esad Pasha Toptani (Albanian: Esad Pashë Toptani; 1863/4 or 1875 – 13 June 1920), mainly known as Essad Pasha, was an Ottoman army officer who served as the Albanian deputy in the Ottoman Parliament. He was a prominent politician in early 20th-century Albania. Toptani cooperated with the Balkan League after the Balkan Wars and established a state in central Albania, based in Durrës, called the Republic of Central Albania."
Q368866,"John Kingsley Orton (1 January 1933 – 9 August 1967), known by the pen name of Joe Orton, was an English playwright, author, and diarist. His public career, from 1964 until his death in 1967, was short but highly influential. During this brief period he shocked, outraged, and amused audiences with his scandalous black comedies. The adjective Ortonesque refers to work characterised by a similarly dark yet farcical cynicism."
Q369696,"Ghassan Kanafani (Arabic: غسان كنفاني‎, 8 April 1936 – 8 July 1972) was a Palestinian author and a leading member of the Popular Front for the Liberation of Palestine (PFLP). On 8 July 1972, he was assassinated by Mossad as a response to the Lod airport massacre."
Q370220,"Dumnorix (spelled Dubnoreix on coins) was a chieftain of the Aedui, a Celtic tribe in Gaul in the 1st century B.C. He was the younger brother of Divitiacus, the Aedui druid and statesman. The Aedui were allies of Rome, but Dumnorix was a leader of the tribe’s anti-Roman faction, who “...thought it better to be dominated by their fellow Gauls... rather than the Romans.”"
Q372423,"Enrique Ángel Angelelli Carletti (17 June 1923 – 4 August 1976) was a bishop of the Catholic Church in Argentina who was assassinated during the Dirty War for his involvement with social issues. Angelelli, whose commitment to the ""Church of the Poor"" offered a model for the future Pope Francis, was murdered two months after U.S. Secretary of State Henry Kissinger gave Argentina's ruling military dirty ""warriors"" a green light for their illegal repression, which included the torture and murder of tens of thousands of political opponents. His cause of sainthood opened in 2015. In June 2018 Pope Francis decreed he had died as a martyr for the faith, allowing Angelelli and his companions to be beatified. The beatification of Angelelli and his three companions was celebrated at La Rioja City Park in La Rioja on 27 April 2019."
Q372964,"Grand Duke Paul Alexandrovich of Russia (Russian: Павел Александрович; 3 October 1860 – 28 January 1919) was the sixth son and youngest child of Emperor Alexander II of Russia by his first wife, Empress Maria Alexandrovna. He was a brother of Emperor Alexander III and uncle of Nicholas II, Russia's last monarch. He entered the Russian Army, was a general in the Cavalry and adjutant general to his brother Emperor Alexander III, and a Knight of the Order of St. Andrew. In 1889, he married Princess Alexandra of Greece, his paternal first cousin once removed. The couple had a daughter and a son, but Alexandra died after the birth of their second child."
Q374599,"Orso Ipato (Latin: Ursus Hypatus; died 737) was the third traditional Doge of Venice (726–737) and the first historically known. During his eleven-year reign, he brought great change to the Venetian navy, aided in the recapture of Ravenna from Lombard invaders, and cultivated harmonious relations with the Byzantine Empire. He was murdered in 737 during a civil conflict."
Q376231,"Stanislav Yuryevich Markelov (Russian: Станисла́в Ю́рьевич Марке́лов, IPA: [stənʲɪˈslaf ˈjʉrʲjɪvʲɪtɕ mɐrˈkʲeləf]; 20 May 1974 – 19 January 2009) was a Russian human rights lawyer. He participated in a number of publicized cases, including those of left-wing political activists and antifascists persecuted since the 1990s, as well as journalists and victims of police violence. Inter alia, Markelov had been the attorney for the family of Elza Kungaeva, a young Chechen woman killed by Russian colonel Yuri Budanov, who was released from prison in mid-January, 15 months before his original sentence was to end. Markelov was murdered on 19 January 2009 in Moscow."
Q400678,"Ahmad Hokmabadi Tabrizi (Persian: سید احمد حکم‌آبادی تبریزی, romanized: Ahmad-e Hokmabadi-ye Tabrizi;‎ 29 September 1890 – 11 March 1946), later known as Ahmad Kasravi (Persian: احمد کسروی, romanized: Ahmad-e Kasravi), was a pre-eminent Iranian linguist, nationalist, religious reformer, historian and former Shia cleric. Born in Hokmavar (Hokmabad), Tabriz, Iran, Kasravi was an Iranian Azerbaijani. During his early years, Kasravi enrolled in a seminary. Later, he joined the Iranian Constitutional Revolution. He deserted his clerical training after this event and enrolled in the American Memorial School of Tabriz."
